********** No Patching ***********
********** No Patching ***********
********** No Patching ***********
********** No Patching ***********
{'loss': 1.4211, 'grad_norm': 12.621078491210938, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 180224}
{'loss': 1.4162, 'grad_norm': 12.427831649780273, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 382976, 'step': 2, 'step_time_sec': 14.26, 'avg_step_time_sec': 14.26, 'time_to_completion_sec': 114.09, 'estimated_total_time_sec': 142.62, 'step_peak_memory_allocated_MB': 42309.5, 'step_peak_memory_reserved_MB': 66648.0, 'total_peak_memory_allocated_MB': 42309.5, 'total_peak_memory_reserved_MB': 66648.0, 'step_tokens_per_second': 14216.46, 'avg_tokens_per_second': 14216.46}
{'loss': 1.3443, 'grad_norm': 10.155989646911621, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 591872, 'step': 3, 'step_time_sec': 13.56, 'avg_step_time_sec': 13.91, 'time_to_completion_sec': 97.36, 'estimated_total_time_sec': 139.09, 'step_peak_memory_allocated_MB': 38748.33, 'step_peak_memory_reserved_MB': 66648.0, 'total_peak_memory_allocated_MB': 42309.5, 'total_peak_memory_reserved_MB': 66648.0, 'step_tokens_per_second': 15409.85, 'avg_tokens_per_second': 14798.02}
{'loss': 1.298, 'grad_norm': 6.8051018714904785, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 813056, 'step': 4, 'step_time_sec': 14.22, 'avg_step_time_sec': 14.01, 'time_to_completion_sec': 84.07, 'estimated_total_time_sec': 140.12, 'step_peak_memory_allocated_MB': 37561.96, 'step_peak_memory_reserved_MB': 66648.0, 'total_peak_memory_allocated_MB': 42309.5, 'total_peak_memory_reserved_MB': 66648.0, 'step_tokens_per_second': 15557.62, 'avg_tokens_per_second': 15054.93}
{'loss': 1.1724, 'grad_norm': 3.835479974746704, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1007616, 'step': 5, 'step_time_sec': 12.2, 'avg_step_time_sec': 13.56, 'time_to_completion_sec': 67.79, 'estimated_total_time_sec': 135.58, 'step_peak_memory_allocated_MB': 39934.82, 'step_peak_memory_reserved_MB': 66648.0, 'total_peak_memory_allocated_MB': 42309.5, 'total_peak_memory_reserved_MB': 66648.0, 'step_tokens_per_second': 15953.77, 'avg_tokens_per_second': 15257.06}
{'loss': 1.1753, 'grad_norm': 3.4680535793304443, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1220608, 'step': 6, 'step_time_sec': 14.02, 'avg_step_time_sec': 13.65, 'time_to_completion_sec': 54.6, 'estimated_total_time_sec': 136.49, 'step_peak_memory_allocated_MB': 42309.5, 'step_peak_memory_reserved_MB': 66648.0, 'total_peak_memory_allocated_MB': 42309.5, 'total_peak_memory_reserved_MB': 66648.0, 'step_tokens_per_second': 15196.96, 'avg_tokens_per_second': 15244.72}
{'loss': 1.0869, 'grad_norm': 3.089900255203247, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1425408, 'step': 7, 'step_time_sec': 13.9, 'avg_step_time_sec': 13.69, 'time_to_completion_sec': 41.07, 'estimated_total_time_sec': 136.9, 'step_peak_memory_allocated_MB': 43495.36, 'step_peak_memory_reserved_MB': 73412.0, 'total_peak_memory_allocated_MB': 43495.36, 'total_peak_memory_reserved_MB': 73412.0, 'step_tokens_per_second': 14738.72, 'avg_tokens_per_second': 15159.12}
{'loss': 1.113, 'grad_norm': 2.9236562252044678, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1624064, 'step': 8, 'step_time_sec': 11.65, 'avg_step_time_sec': 13.4, 'time_to_completion_sec': 26.8, 'estimated_total_time_sec': 133.98, 'step_peak_memory_allocated_MB': 44682.04, 'step_peak_memory_reserved_MB': 77746.0, 'total_peak_memory_allocated_MB': 44682.04, 'total_peak_memory_reserved_MB': 77746.0, 'step_tokens_per_second': 17059.12, 'avg_tokens_per_second': 15395.04}
{'loss': 1.1248, 'grad_norm': 2.673311233520508, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.1, 'num_input_tokens_seen': 1847296, 'step': 9, 'step_time_sec': 14.73, 'avg_step_time_sec': 13.56, 'time_to_completion_sec': 13.56, 'estimated_total_time_sec': 135.65, 'step_peak_memory_allocated_MB': 49431.26, 'step_peak_memory_reserved_MB': 77746.0, 'total_peak_memory_allocated_MB': 49431.26, 'total_peak_memory_reserved_MB': 77746.0, 'step_tokens_per_second': 15151.43, 'avg_tokens_per_second': 15361.96}
{'loss': 1.1342, 'grad_norm': 2.6109793186187744, 'learning_rate': 0.0, 'epoch': 0.11, 'num_input_tokens_seen': 2039808, 'step': 10, 'step_time_sec': 10.68, 'avg_step_time_sec': 13.24, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 132.44, 'step_peak_memory_allocated_MB': 38748.33, 'step_peak_memory_reserved_MB': 67022.0, 'total_peak_memory_allocated_MB': 49431.26, 'total_peak_memory_reserved_MB': 77746.0, 'step_tokens_per_second': 18030.39, 'avg_tokens_per_second': 15600.99}
{'train_runtime': 132.0533, 'train_samples_per_second': 38.772, 'train_steps_per_second': 0.076, 'train_loss': 1.2286042809486388, 'epoch': 0.11, 'num_input_tokens_seen': 2039808, 'step': 10, 'step_time_sec': 10.68, 'avg_step_time_sec': 13.24, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 132.44, 'step_peak_memory_allocated_MB': 38748.33, 'step_peak_memory_reserved_MB': 67022.0, 'total_peak_memory_allocated_MB': 49431.26, 'total_peak_memory_reserved_MB': 77746.0, 'step_tokens_per_second': 18030.39, 'avg_tokens_per_second': 15600.99}
