********** No Patching ***********
********** No Patching ***********
********** No Patching ***********
********** No Patching ***********
{'loss': 31.4793, 'grad_norm': 224.66493225097656, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 24576}
{'loss': 29.4235, 'grad_norm': 210.67129516601562, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 56064, 'step': 2, 'step_time_sec': 4.83, 'avg_step_time_sec': 4.83, 'time_to_completion_sec': 38.6, 'estimated_total_time_sec': 48.25, 'step_peak_memory_allocated_MB': 45592.53, 'step_peak_memory_reserved_MB': 70660.0, 'total_peak_memory_allocated_MB': 45592.53, 'total_peak_memory_reserved_MB': 70660.0, 'step_tokens_per_second': 6525.48, 'avg_tokens_per_second': 6525.48}
{'loss': 30.1175, 'grad_norm': 283.3544616699219, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 82560, 'step': 3, 'step_time_sec': 3.38, 'avg_step_time_sec': 4.1, 'time_to_completion_sec': 28.72, 'estimated_total_time_sec': 41.02, 'step_peak_memory_allocated_MB': 50391.25, 'step_peak_memory_reserved_MB': 78160.0, 'total_peak_memory_allocated_MB': 50391.25, 'total_peak_memory_reserved_MB': 78160.0, 'step_tokens_per_second': 7840.03, 'avg_tokens_per_second': 7066.94}
{'loss': 24.0829, 'grad_norm': 440.40447998046875, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 106368, 'step': 4, 'step_time_sec': 5.32, 'avg_step_time_sec': 4.51, 'time_to_completion_sec': 27.05, 'estimated_total_time_sec': 45.09, 'step_peak_memory_allocated_MB': 41993.74, 'step_peak_memory_reserved_MB': 70128.0, 'total_peak_memory_allocated_MB': 50391.25, 'total_peak_memory_reserved_MB': 78160.0, 'step_tokens_per_second': 4474.26, 'avg_tokens_per_second': 6046.99}
{'loss': 17.3496, 'grad_norm': 540.7879028320312, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 133248, 'step': 5, 'step_time_sec': 2.91, 'avg_step_time_sec': 4.11, 'time_to_completion_sec': 20.54, 'estimated_total_time_sec': 41.09, 'step_peak_memory_allocated_MB': 45592.53, 'step_peak_memory_reserved_MB': 70128.0, 'total_peak_memory_allocated_MB': 50391.25, 'total_peak_memory_reserved_MB': 78160.0, 'step_tokens_per_second': 9238.87, 'avg_tokens_per_second': 6612.02}
{'loss': 9.7263, 'grad_norm': 684.815673828125, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 156288, 'step': 6, 'step_time_sec': 2.58, 'avg_step_time_sec': 3.8, 'time_to_completion_sec': 15.21, 'estimated_total_time_sec': 38.03, 'step_peak_memory_allocated_MB': 43193.3, 'step_peak_memory_reserved_MB': 70128.0, 'total_peak_memory_allocated_MB': 50391.25, 'total_peak_memory_reserved_MB': 78160.0, 'step_tokens_per_second': 8931.35, 'avg_tokens_per_second': 6926.67}
{'loss': 6.6242, 'grad_norm': 426.8868713378906, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.01, 'num_input_tokens_seen': 182016, 'step': 7, 'step_time_sec': 4.3, 'avg_step_time_sec': 3.89, 'time_to_completion_sec': 11.66, 'estimated_total_time_sec': 38.86, 'step_peak_memory_allocated_MB': 40728.07, 'step_peak_memory_reserved_MB': 70128.0, 'total_peak_memory_allocated_MB': 50391.25, 'total_peak_memory_reserved_MB': 78160.0, 'step_tokens_per_second': 5980.89, 'avg_tokens_per_second': 6752.18}
{'loss': 3.7905, 'grad_norm': 265.46630859375, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.02, 'num_input_tokens_seen': 208896, 'step': 8, 'step_time_sec': 4.02, 'avg_step_time_sec': 3.91, 'time_to_completion_sec': 7.81, 'estimated_total_time_sec': 39.05, 'step_peak_memory_allocated_MB': 52790.76, 'step_peak_memory_reserved_MB': 78378.0, 'total_peak_memory_allocated_MB': 52790.76, 'total_peak_memory_reserved_MB': 78378.0, 'step_tokens_per_second': 6689.1, 'avg_tokens_per_second': 6742.91}
{'loss': 3.0764, 'grad_norm': 232.69371032714844, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.02, 'num_input_tokens_seen': 238464, 'step': 9, 'step_time_sec': 3.09, 'avg_step_time_sec': 3.8, 'time_to_completion_sec': 3.8, 'estimated_total_time_sec': 38.03, 'step_peak_memory_allocated_MB': 47991.84, 'step_peak_memory_reserved_MB': 72376.0, 'total_peak_memory_allocated_MB': 52790.76, 'total_peak_memory_reserved_MB': 78378.0, 'step_tokens_per_second': 9570.46, 'avg_tokens_per_second': 7030.04}
{'loss': 2.7819, 'grad_norm': 281.6531066894531, 'learning_rate': 0.0, 'epoch': 0.02, 'num_input_tokens_seen': 262272, 'step': 10, 'step_time_sec': 2.59, 'avg_step_time_sec': 3.67, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 36.69, 'step_peak_memory_allocated_MB': 43193.3, 'step_peak_memory_reserved_MB': 72376.0, 'total_peak_memory_allocated_MB': 52790.76, 'total_peak_memory_reserved_MB': 78378.0, 'step_tokens_per_second': 9177.07, 'avg_tokens_per_second': 7198.73}
{'train_runtime': 38.1406, 'train_samples_per_second': 25.17, 'train_steps_per_second': 0.262, 'train_loss': 15.845202732086182, 'epoch': 0.02, 'num_input_tokens_seen': 262272, 'step': 10, 'step_time_sec': 2.59, 'avg_step_time_sec': 3.67, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 36.69, 'step_peak_memory_allocated_MB': 43193.3, 'step_peak_memory_reserved_MB': 72376.0, 'total_peak_memory_allocated_MB': 52790.76, 'total_peak_memory_reserved_MB': 78378.0, 'step_tokens_per_second': 9177.07, 'avg_tokens_per_second': 7198.73}
