********** Pre-Init Patching ***********
********** Pre-Init Patching ***********
********** Pre-Init Patching ***********
********** Pre-Init Patching ***********
{'loss': 1.3937, 'grad_norm': 12.761528015136719, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 192512}
{'loss': 1.3736, 'grad_norm': 11.779804229736328, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 421888, 'step': 2, 'step_time_sec': 11.37, 'avg_step_time_sec': 11.37, 'time_to_completion_sec': 90.95, 'estimated_total_time_sec': 113.69, 'step_peak_memory_allocated_MB': 33378.98, 'step_peak_memory_reserved_MB': 48046.0, 'total_peak_memory_allocated_MB': 33378.98, 'total_peak_memory_reserved_MB': 48046.0, 'step_tokens_per_second': 20175.15, 'avg_tokens_per_second': 20175.15}
{'loss': 1.3594, 'grad_norm': 10.416253089904785, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 657408, 'step': 3, 'step_time_sec': 11.4, 'avg_step_time_sec': 11.39, 'time_to_completion_sec': 79.7, 'estimated_total_time_sec': 113.85, 'step_peak_memory_allocated_MB': 30972.86, 'step_peak_memory_reserved_MB': 48046.0, 'total_peak_memory_allocated_MB': 33378.98, 'total_peak_memory_reserved_MB': 48046.0, 'step_tokens_per_second': 20657.06, 'avg_tokens_per_second': 20416.44}
{'loss': 1.2687, 'grad_norm': 6.765961647033691, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 860160, 'step': 4, 'step_time_sec': 11.4, 'avg_step_time_sec': 11.39, 'time_to_completion_sec': 68.34, 'estimated_total_time_sec': 113.89, 'step_peak_memory_allocated_MB': 30972.86, 'step_peak_memory_reserved_MB': 48046.0, 'total_peak_memory_allocated_MB': 33378.98, 'total_peak_memory_reserved_MB': 48046.0, 'step_tokens_per_second': 17788.91, 'avg_tokens_per_second': 19539.96}
{'loss': 1.1276, 'grad_norm': 3.8431475162506104, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1079296, 'step': 5, 'step_time_sec': 10.17, 'avg_step_time_sec': 11.09, 'time_to_completion_sec': 55.43, 'estimated_total_time_sec': 110.86, 'step_peak_memory_allocated_MB': 32159.85, 'step_peak_memory_reserved_MB': 48046.0, 'total_peak_memory_allocated_MB': 33378.98, 'total_peak_memory_reserved_MB': 48046.0, 'step_tokens_per_second': 21539.04, 'avg_tokens_per_second': 19998.63}
{'loss': 1.1904, 'grad_norm': 3.5808773040771484, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1302528, 'step': 6, 'step_time_sec': 11.4, 'avg_step_time_sec': 11.15, 'time_to_completion_sec': 44.6, 'estimated_total_time_sec': 111.49, 'step_peak_memory_allocated_MB': 34630.23, 'step_peak_memory_reserved_MB': 58864.0, 'total_peak_memory_allocated_MB': 34630.23, 'total_peak_memory_reserved_MB': 58864.0, 'step_tokens_per_second': 19574.65, 'avg_tokens_per_second': 19911.9}
{'loss': 1.1268, 'grad_norm': 3.1091794967651367, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1540096, 'step': 7, 'step_time_sec': 11.43, 'avg_step_time_sec': 11.2, 'time_to_completion_sec': 33.59, 'estimated_total_time_sec': 111.97, 'step_peak_memory_allocated_MB': 34630.23, 'step_peak_memory_reserved_MB': 58864.0, 'total_peak_memory_allocated_MB': 34630.23, 'total_peak_memory_reserved_MB': 58864.0, 'step_tokens_per_second': 20777.05, 'avg_tokens_per_second': 20059.15}
{'loss': 1.1846, 'grad_norm': 3.0141403675079346, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1765376, 'step': 8, 'step_time_sec': 10.59, 'avg_step_time_sec': 11.11, 'time_to_completion_sec': 22.22, 'estimated_total_time_sec': 111.1, 'step_peak_memory_allocated_MB': 38576.72, 'step_peak_memory_reserved_MB': 72320.0, 'total_peak_memory_allocated_MB': 38576.72, 'total_peak_memory_reserved_MB': 72320.0, 'step_tokens_per_second': 21271.74, 'avg_tokens_per_second': 20224.27}
{'loss': 1.1116, 'grad_norm': 2.7821853160858154, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.1, 'num_input_tokens_seen': 1992704, 'step': 9, 'step_time_sec': 11.03, 'avg_step_time_sec': 11.1, 'time_to_completion_sec': 11.1, 'estimated_total_time_sec': 111.01, 'step_peak_memory_allocated_MB': 37229.1, 'step_peak_memory_reserved_MB': 72320.0, 'total_peak_memory_allocated_MB': 38576.72, 'total_peak_memory_reserved_MB': 72320.0, 'step_tokens_per_second': 20604.12, 'avg_tokens_per_second': 20271.47}
{'loss': 1.1497, 'grad_norm': 2.6738829612731934, 'learning_rate': 0.0, 'epoch': 0.11, 'num_input_tokens_seen': 2205696, 'step': 10, 'step_time_sec': 11.43, 'avg_step_time_sec': 11.14, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 111.37, 'step_peak_memory_allocated_MB': 29817.98, 'step_peak_memory_reserved_MB': 72320.0, 'total_peak_memory_allocated_MB': 38576.72, 'total_peak_memory_reserved_MB': 72320.0, 'step_tokens_per_second': 18638.82, 'avg_tokens_per_second': 20085.33}
{'train_runtime': 113.7956, 'train_samples_per_second': 44.993, 'train_steps_per_second': 0.088, 'train_loss': 1.2286056995391845, 'epoch': 0.11, 'num_input_tokens_seen': 2205696, 'step': 10, 'step_time_sec': 11.43, 'avg_step_time_sec': 11.14, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 111.37, 'step_peak_memory_allocated_MB': 29817.98, 'step_peak_memory_reserved_MB': 72320.0, 'total_peak_memory_allocated_MB': 38576.72, 'total_peak_memory_reserved_MB': 72320.0, 'step_tokens_per_second': 18638.82, 'avg_tokens_per_second': 20085.33}
