********** Post-Init Class Patching ***********
********** Post-Init Class Patching ***********
********** Post-Init Class Patching ***********
********** Post-Init Class Patching ***********
{'loss': 1.3758, 'grad_norm': 12.374638557434082, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 202752}
{'loss': 1.4229, 'grad_norm': 11.852645874023438, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 438272, 'step': 2, 'step_time_sec': 13.54, 'avg_step_time_sec': 13.54, 'time_to_completion_sec': 108.33, 'estimated_total_time_sec': 135.42, 'step_peak_memory_allocated_MB': 34004.42, 'step_peak_memory_reserved_MB': 54122.0, 'total_peak_memory_allocated_MB': 34004.42, 'total_peak_memory_reserved_MB': 54122.0, 'step_tokens_per_second': 17392.1, 'avg_tokens_per_second': 17392.1}
{'loss': 1.3444, 'grad_norm': 10.46435832977295, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 661504, 'step': 3, 'step_time_sec': 13.09, 'avg_step_time_sec': 13.32, 'time_to_completion_sec': 93.22, 'estimated_total_time_sec': 133.17, 'step_peak_memory_allocated_MB': 48244.9, 'step_peak_memory_reserved_MB': 77390.0, 'total_peak_memory_allocated_MB': 48244.9, 'total_peak_memory_reserved_MB': 77390.0, 'step_tokens_per_second': 17051.34, 'avg_tokens_per_second': 17224.6}
{'loss': 1.2459, 'grad_norm': 6.974551677703857, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 862208, 'step': 4, 'step_time_sec': 13.54, 'avg_step_time_sec': 13.39, 'time_to_completion_sec': 80.35, 'estimated_total_time_sec': 133.92, 'step_peak_memory_allocated_MB': 31632.82, 'step_peak_memory_reserved_MB': 77390.0, 'total_peak_memory_allocated_MB': 48244.9, 'total_peak_memory_reserved_MB': 77390.0, 'step_tokens_per_second': 14818.96, 'avg_tokens_per_second': 16413.66}
{'loss': 1.1533, 'grad_norm': 3.9303009510040283, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1085440, 'step': 5, 'step_time_sec': 13.56, 'avg_step_time_sec': 13.43, 'time_to_completion_sec': 67.17, 'estimated_total_time_sec': 134.34, 'step_peak_memory_allocated_MB': 34004.42, 'step_peak_memory_reserved_MB': 77390.0, 'total_peak_memory_allocated_MB': 48244.9, 'total_peak_memory_reserved_MB': 77390.0, 'step_tokens_per_second': 16463.7, 'avg_tokens_per_second': 16426.28}
{'loss': 1.1328, 'grad_norm': 3.604916572570801, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1302528, 'step': 6, 'step_time_sec': 13.55, 'avg_step_time_sec': 13.46, 'time_to_completion_sec': 53.83, 'estimated_total_time_sec': 134.57, 'step_peak_memory_allocated_MB': 31632.82, 'step_peak_memory_reserved_MB': 77446.0, 'total_peak_memory_allocated_MB': 48244.9, 'total_peak_memory_reserved_MB': 77446.0, 'step_tokens_per_second': 16024.06, 'avg_tokens_per_second': 16345.3}
{'loss': 1.1473, 'grad_norm': 2.9329543113708496, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1540096, 'step': 7, 'step_time_sec': 14.72, 'avg_step_time_sec': 13.67, 'time_to_completion_sec': 41.0, 'estimated_total_time_sec': 136.67, 'step_peak_memory_allocated_MB': 49432.07, 'step_peak_memory_reserved_MB': 77446.0, 'total_peak_memory_allocated_MB': 49432.07, 'total_peak_memory_reserved_MB': 77446.0, 'step_tokens_per_second': 16138.34, 'avg_tokens_per_second': 16308.14}
{'loss': 1.1785, 'grad_norm': 3.0255298614501953, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1763328, 'step': 8, 'step_time_sec': 13.56, 'avg_step_time_sec': 13.65, 'time_to_completion_sec': 27.3, 'estimated_total_time_sec': 136.52, 'step_peak_memory_allocated_MB': 37562.78, 'step_peak_memory_reserved_MB': 65688.0, 'total_peak_memory_allocated_MB': 49432.07, 'total_peak_memory_reserved_MB': 77446.0, 'step_tokens_per_second': 16462.03, 'avg_tokens_per_second': 16329.98}
{'loss': 1.1259, 'grad_norm': 2.8834962844848633, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.1, 'num_input_tokens_seen': 1974272, 'step': 9, 'step_time_sec': 13.59, 'avg_step_time_sec': 13.64, 'time_to_completion_sec': 13.64, 'estimated_total_time_sec': 136.44, 'step_peak_memory_allocated_MB': 49432.07, 'step_peak_memory_reserved_MB': 65688.0, 'total_peak_memory_allocated_MB': 49432.07, 'total_peak_memory_reserved_MB': 77446.0, 'step_tokens_per_second': 15524.39, 'avg_tokens_per_second': 16229.7}
{'loss': 1.1182, 'grad_norm': 2.6750574111938477, 'learning_rate': 0.0, 'epoch': 0.11, 'num_input_tokens_seen': 2197504, 'step': 10, 'step_time_sec': 13.53, 'avg_step_time_sec': 13.63, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 136.31, 'step_peak_memory_allocated_MB': 34004.42, 'step_peak_memory_reserved_MB': 65688.0, 'total_peak_memory_allocated_MB': 49432.07, 'total_peak_memory_reserved_MB': 77446.0, 'step_tokens_per_second': 16503.37, 'avg_tokens_per_second': 16259.87}
{'train_runtime': 138.1063, 'train_samples_per_second': 37.073, 'train_steps_per_second': 0.072, 'train_loss': 1.2245011925697327, 'epoch': 0.11, 'num_input_tokens_seen': 2197504, 'step': 10, 'step_time_sec': 13.53, 'avg_step_time_sec': 13.63, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 136.31, 'step_peak_memory_allocated_MB': 34004.42, 'step_peak_memory_reserved_MB': 65688.0, 'total_peak_memory_allocated_MB': 49432.07, 'total_peak_memory_reserved_MB': 77446.0, 'step_tokens_per_second': 16503.37, 'avg_tokens_per_second': 16259.87}
