********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
Got here phi3!
Got here phi3!
Got here phi3!
Got here phi3!
{'loss': 36.1928, 'grad_norm': 2471113.5, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 225280}
{'loss': 36.2769, 'grad_norm': 2454697.5, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 407552, 'step': 2, 'step_time_sec': 10.37, 'avg_step_time_sec': 10.37, 'time_to_completion_sec': 83.0, 'estimated_total_time_sec': 103.75, 'step_peak_memory_allocated_MB': 35872.53, 'step_peak_memory_reserved_MB': 56622.0, 'total_peak_memory_allocated_MB': 35872.53, 'total_peak_memory_reserved_MB': 56622.0, 'step_tokens_per_second': 17569.18, 'avg_tokens_per_second': 17569.18}
{'loss': 35.7081, 'grad_norm': 2426361.75, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 624640, 'step': 3, 'step_time_sec': 12.82, 'avg_step_time_sec': 11.59, 'time_to_completion_sec': 81.16, 'estimated_total_time_sec': 115.95, 'step_peak_memory_allocated_MB': 48664.07, 'step_peak_memory_reserved_MB': 72642.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 16939.78, 'avg_tokens_per_second': 17221.36}
{'loss': 34.7399, 'grad_norm': 3893198.75, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 823296, 'step': 4, 'step_time_sec': 12.77, 'avg_step_time_sec': 11.99, 'time_to_completion_sec': 71.91, 'estimated_total_time_sec': 119.85, 'step_peak_memory_allocated_MB': 32386.56, 'step_peak_memory_reserved_MB': 67000.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 15561.03, 'avg_tokens_per_second': 16631.86}
{'loss': 33.0798, 'grad_norm': 8470892.0, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1038336, 'step': 5, 'step_time_sec': 11.78, 'avg_step_time_sec': 11.93, 'time_to_completion_sec': 59.67, 'estimated_total_time_sec': 119.34, 'step_peak_memory_allocated_MB': 47500.58, 'step_peak_memory_reserved_MB': 67000.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 18255.69, 'avg_tokens_per_second': 17032.56}
{'loss': 28.5931, 'grad_norm': 6679151.5, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1284096, 'step': 6, 'step_time_sec': 13.22, 'avg_step_time_sec': 12.19, 'time_to_completion_sec': 48.77, 'estimated_total_time_sec': 121.91, 'step_peak_memory_allocated_MB': 48664.07, 'step_peak_memory_reserved_MB': 71096.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 18587.97, 'avg_tokens_per_second': 17369.92}
{'loss': 26.3595, 'grad_norm': 2964099.0, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1499136, 'step': 7, 'step_time_sec': 12.23, 'avg_step_time_sec': 12.2, 'time_to_completion_sec': 36.6, 'estimated_total_time_sec': 121.98, 'step_peak_memory_allocated_MB': 48664.07, 'step_peak_memory_reserved_MB': 71096.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 17577.43, 'avg_tokens_per_second': 17404.61}
{'loss': 25.5459, 'grad_norm': 3925455.5, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1697792, 'step': 8, 'step_time_sec': 12.19, 'avg_step_time_sec': 12.2, 'time_to_completion_sec': 24.39, 'estimated_total_time_sec': 121.97, 'step_peak_memory_allocated_MB': 35872.53, 'step_peak_memory_reserved_MB': 71096.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 16296.91, 'avg_tokens_per_second': 17246.46}
{'loss': 25.1075, 'grad_norm': 3336519.75, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.1, 'num_input_tokens_seen': 1933312, 'step': 9, 'step_time_sec': 12.21, 'avg_step_time_sec': 12.2, 'time_to_completion_sec': 12.2, 'estimated_total_time_sec': 121.99, 'step_peak_memory_allocated_MB': 44010.86, 'step_peak_memory_reserved_MB': 71096.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 19286.99, 'avg_tokens_per_second': 17501.79}
{'loss': 24.1231, 'grad_norm': 2684412.5, 'learning_rate': 0.0, 'epoch': 0.11, 'num_input_tokens_seen': 2142208, 'step': 10, 'step_time_sec': 12.22, 'avg_step_time_sec': 12.2, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 122.01, 'step_peak_memory_allocated_MB': 34711.35, 'step_peak_memory_reserved_MB': 71096.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 17097.78, 'avg_tokens_per_second': 17456.83}
{'train_runtime': 123.7214, 'train_samples_per_second': 41.383, 'train_steps_per_second': 0.081, 'train_loss': 30.57265148162842, 'epoch': 0.11, 'num_input_tokens_seen': 2142208, 'step': 10, 'step_time_sec': 12.22, 'avg_step_time_sec': 12.2, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 122.01, 'step_peak_memory_allocated_MB': 34711.35, 'step_peak_memory_reserved_MB': 71096.0, 'total_peak_memory_allocated_MB': 48664.07, 'total_peak_memory_reserved_MB': 72642.0, 'step_tokens_per_second': 17097.78, 'avg_tokens_per_second': 17456.83}
