********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
********** Post-Init Instance Patching ***********
{'loss': 65.0328, 'grad_norm': 519.29931640625, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 28416}
{'loss': 65.9667, 'grad_norm': 520.203857421875, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 56064, 'step': 2, 'step_time_sec': 2.54, 'avg_step_time_sec': 2.54, 'time_to_completion_sec': 20.32, 'estimated_total_time_sec': 25.4, 'step_peak_memory_allocated_MB': 40727.28, 'step_peak_memory_reserved_MB': 54516.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54516.0, 'step_tokens_per_second': 10886.17, 'avg_tokens_per_second': 10886.17}
{'loss': 54.0206, 'grad_norm': 391.349853515625, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 79872, 'step': 3, 'step_time_sec': 2.14, 'avg_step_time_sec': 2.34, 'time_to_completion_sec': 16.39, 'estimated_total_time_sec': 23.41, 'step_peak_memory_allocated_MB': 40727.25, 'step_peak_memory_reserved_MB': 54516.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54516.0, 'step_tokens_per_second': 11110.01, 'avg_tokens_per_second': 10988.6}
{'loss': 40.0592, 'grad_norm': 210.4846649169922, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 99840, 'step': 4, 'step_time_sec': 1.89, 'avg_step_time_sec': 2.19, 'time_to_completion_sec': 13.14, 'estimated_total_time_sec': 21.9, 'step_peak_memory_allocated_MB': 40727.23, 'step_peak_memory_reserved_MB': 54516.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54516.0, 'step_tokens_per_second': 10582.37, 'avg_tokens_per_second': 10871.93}
{'loss': 33.1354, 'grad_norm': 103.48870849609375, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 127488, 'step': 5, 'step_time_sec': 2.81, 'avg_step_time_sec': 2.34, 'time_to_completion_sec': 11.72, 'estimated_total_time_sec': 23.44, 'step_peak_memory_allocated_MB': 40727.21, 'step_peak_memory_reserved_MB': 54518.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54518.0, 'step_tokens_per_second': 9854.32, 'avg_tokens_per_second': 10567.39}
{'loss': 30.5868, 'grad_norm': 179.61737060546875, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 154752, 'step': 6, 'step_time_sec': 2.43, 'avg_step_time_sec': 2.36, 'time_to_completion_sec': 9.45, 'estimated_total_time_sec': 23.62, 'step_peak_memory_allocated_MB': 40727.26, 'step_peak_memory_reserved_MB': 54518.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54518.0, 'step_tokens_per_second': 11197.32, 'avg_tokens_per_second': 10697.26}
{'loss': 29.6522, 'grad_norm': 142.8813934326172, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.01, 'num_input_tokens_seen': 174720, 'step': 7, 'step_time_sec': 2.17, 'avg_step_time_sec': 2.33, 'time_to_completion_sec': 6.99, 'estimated_total_time_sec': 23.29, 'step_peak_memory_allocated_MB': 40727.22, 'step_peak_memory_reserved_MB': 54518.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54518.0, 'step_tokens_per_second': 9222.28, 'avg_tokens_per_second': 10468.75}
{'loss': 27.5805, 'grad_norm': 109.24333953857422, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.02, 'num_input_tokens_seen': 205056, 'step': 8, 'step_time_sec': 3.21, 'avg_step_time_sec': 2.46, 'time_to_completion_sec': 4.91, 'estimated_total_time_sec': 24.55, 'step_peak_memory_allocated_MB': 40727.22, 'step_peak_memory_reserved_MB': 54518.0, 'total_peak_memory_allocated_MB': 40727.28, 'total_peak_memory_reserved_MB': 54518.0, 'step_tokens_per_second': 9444.83, 'avg_tokens_per_second': 10277.4}
{'loss': 28.2162, 'grad_norm': 124.36390686035156, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.02, 'num_input_tokens_seen': 235776, 'step': 9, 'step_time_sec': 3.66, 'avg_step_time_sec': 2.61, 'time_to_completion_sec': 2.61, 'estimated_total_time_sec': 26.06, 'step_peak_memory_allocated_MB': 40727.38, 'step_peak_memory_reserved_MB': 55094.0, 'total_peak_memory_allocated_MB': 40727.38, 'total_peak_memory_reserved_MB': 55094.0, 'step_tokens_per_second': 8394.91, 'avg_tokens_per_second': 9946.95}
{'loss': 29.6977, 'grad_norm': 76.28723907470703, 'learning_rate': 0.0, 'epoch': 0.02, 'num_input_tokens_seen': 259968, 'step': 10, 'step_time_sec': 2.35, 'avg_step_time_sec': 2.58, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 25.78, 'step_peak_memory_allocated_MB': 40727.27, 'step_peak_memory_reserved_MB': 55094.0, 'total_peak_memory_allocated_MB': 40727.38, 'total_peak_memory_reserved_MB': 55094.0, 'step_tokens_per_second': 10287.01, 'avg_tokens_per_second': 9981.42}
{'train_runtime': 28.6969, 'train_samples_per_second': 33.453, 'train_steps_per_second': 0.348, 'train_loss': 40.3948034286499, 'epoch': 0.02, 'num_input_tokens_seen': 259968, 'step': 10, 'step_time_sec': 2.35, 'avg_step_time_sec': 2.58, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 25.78, 'step_peak_memory_allocated_MB': 40727.27, 'step_peak_memory_reserved_MB': 55094.0, 'total_peak_memory_allocated_MB': 40727.38, 'total_peak_memory_reserved_MB': 55094.0, 'step_tokens_per_second': 10287.01, 'avg_tokens_per_second': 9981.42}
