********** Pre-Init Patching ***********
********** Pre-Init Patching ***********
********** Pre-Init Patching ***********
********** Pre-Init Patching ***********
{'loss': 29.4636, 'grad_norm': 213.10638427734375, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 22656}
{'loss': 38.7507, 'grad_norm': 276.8185119628906, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 45696, 'step': 2, 'step_time_sec': 2.43, 'avg_step_time_sec': 2.43, 'time_to_completion_sec': 19.44, 'estimated_total_time_sec': 24.3, 'step_peak_memory_allocated_MB': 40728.97, 'step_peak_memory_reserved_MB': 54272.0, 'total_peak_memory_allocated_MB': 40728.97, 'total_peak_memory_reserved_MB': 54272.0, 'step_tokens_per_second': 9480.43, 'avg_tokens_per_second': 9480.43}
{'loss': 30.1075, 'grad_norm': 289.581787109375, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 68736, 'step': 3, 'step_time_sec': 2.63, 'avg_step_time_sec': 2.53, 'time_to_completion_sec': 17.72, 'estimated_total_time_sec': 25.31, 'step_peak_memory_allocated_MB': 40728.95, 'step_peak_memory_reserved_MB': 54406.0, 'total_peak_memory_allocated_MB': 40728.97, 'total_peak_memory_reserved_MB': 54406.0, 'step_tokens_per_second': 8751.73, 'avg_tokens_per_second': 9101.52}
{'loss': 20.9542, 'grad_norm': 380.9770812988281, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 97152, 'step': 4, 'step_time_sec': 3.13, 'avg_step_time_sec': 2.73, 'time_to_completion_sec': 16.38, 'estimated_total_time_sec': 27.31, 'step_peak_memory_allocated_MB': 40728.96, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40728.97, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 9080.64, 'avg_tokens_per_second': 9093.55}
{'loss': 17.0289, 'grad_norm': 538.8377075195312, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 130560, 'step': 5, 'step_time_sec': 3.68, 'avg_step_time_sec': 2.97, 'time_to_completion_sec': 14.84, 'estimated_total_time_sec': 29.69, 'step_peak_memory_allocated_MB': 40729.03, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 9069.36, 'avg_tokens_per_second': 9086.04}
{'loss': 10.8223, 'grad_norm': 674.0440673828125, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 155904, 'step': 6, 'step_time_sec': 2.8, 'avg_step_time_sec': 2.94, 'time_to_completion_sec': 11.74, 'estimated_total_time_sec': 29.36, 'step_peak_memory_allocated_MB': 40728.95, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 9040.39, 'avg_tokens_per_second': 9077.32}
{'loss': 6.0966, 'grad_norm': 424.3373107910156, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.01, 'num_input_tokens_seen': 178560, 'step': 7, 'step_time_sec': 2.22, 'avg_step_time_sec': 2.82, 'time_to_completion_sec': 8.45, 'estimated_total_time_sec': 28.17, 'step_peak_memory_allocated_MB': 40728.99, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 10187.3, 'avg_tokens_per_second': 9223.36}
{'loss': 3.5022, 'grad_norm': 284.5347900390625, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.02, 'num_input_tokens_seen': 205056, 'step': 8, 'step_time_sec': 2.83, 'avg_step_time_sec': 2.82, 'time_to_completion_sec': 5.64, 'estimated_total_time_sec': 28.2, 'step_peak_memory_allocated_MB': 40728.99, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 9348.28, 'avg_tokens_per_second': 9241.3}
{'loss': 2.6315, 'grad_norm': 260.8713073730469, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.02, 'num_input_tokens_seen': 225792, 'step': 9, 'step_time_sec': 2.35, 'avg_step_time_sec': 2.76, 'time_to_completion_sec': 2.76, 'estimated_total_time_sec': 27.61, 'step_peak_memory_allocated_MB': 40728.94, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 8812.74, 'avg_tokens_per_second': 9195.65}
{'loss': 2.2346, 'grad_norm': 222.8181915283203, 'learning_rate': 0.0, 'epoch': 0.02, 'num_input_tokens_seen': 243456, 'step': 10, 'step_time_sec': 1.89, 'avg_step_time_sec': 2.66, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 26.64, 'step_peak_memory_allocated_MB': 40728.97, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 9367.21, 'avg_tokens_per_second': 9209.15}
{'train_runtime': 29.3781, 'train_samples_per_second': 32.677, 'train_steps_per_second': 0.34, 'train_loss': 16.159214401245116, 'epoch': 0.02, 'num_input_tokens_seen': 243456, 'step': 10, 'step_time_sec': 1.89, 'avg_step_time_sec': 2.66, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 26.64, 'step_peak_memory_allocated_MB': 40728.97, 'step_peak_memory_reserved_MB': 54408.0, 'total_peak_memory_allocated_MB': 40729.03, 'total_peak_memory_reserved_MB': 54408.0, 'step_tokens_per_second': 9367.21, 'avg_tokens_per_second': 9209.15}
